Product Type,Date of scrap,Product ID,Discount Type,Product Price before discount,Product Price,Product Size,Product Link
Koszula,2024-01-14,25096,Rabat -30%. Kod: EXTRA30.,129.99,79.99,"['XS', 'S', 'M', 'L', 'XL', 'XXL']",https://moodo.pl/product-pol-25096-Koszula-z-wiazanym-dekoltem-czerwona.html
Other,2024-01-14,25091,Rabat -30%. Kod: EXTRA30.,139.99,99.99,"['XS', 'S', 'M', 'L', 'XL', 'XXL']",https://moodo.pl/product-pol-25091-Wzorzysta-koszula-z-wiazaniem-na-dekolcie-czarna.html
Koszula,2024-01-14,25092,Rabat -30%. Kod: EXTRA30.,149.99,119.99,"['XS', 'S', 'M', 'L', 'XL', 'XXL']",https://moodo.pl/product-pol-25092-Koszula-ozdobiona-koralikami.html
Bluzka,2024-01-14,25035,Rabat -30%. Kod: EXTRA30.,79.99,59.99,"['XS', 'S', 'M', 'L', 'XL', 'XXL']",https://moodo.pl/product-pol-25035-Bluzka-z-azurowymi-rekawami.html
Bluzka,2024-01-14,25031,Rabat -30%. Kod: EXTRA30.,89.99,59.99,"['XS', 'S', 'M', 'L', 'XL', 'XXL']",https://moodo.pl/product-pol-25031-Bluzka-z-przezroczystymi-rekawami.html
Bluzka,2024-01-14,25032,Rabat -30%. Kod: EXTRA30.,89.99,59.99,"['XS', 'S', 'M', 'L', 'XL', 'XXL']",https://moodo.pl/product-pol-25032-Bluzka-z-dekoltem-w-serek-i-bufiastymi-krotkimi-rekawami-czarna.html
Bluzka,2024-01-14,25033,Rabat -30%. Kod: EXTRA30.,79.99,39.99,"['XS', 'S', 'M', 'L', 'XL', 'XXL']",https://moodo.pl/product-pol-25033-Bluzka-z-krotkim-rekawem.html
Other,2024-01-14,25034,Rabat -30%. Kod: EXTRA30.,89.99,69.99,"['XS', 'S', 'M', 'L', 'XL', 'XXL']",https://moodo.pl/product-pol-25034-Elegancka-bluzka-z-dekoltem-w-serek-z-blyszczacego-materialu-czarna.html
Sweter,2024-01-14,25020,Rabat -30%. Kod: EXTRA30.,149.99,99.99,"['XS', 'S', 'M', 'L', 'XL', 'XXL']",https://moodo.pl/product-pol-25020-Sweter-z-dekoltem-w-serek-i-metaliczna-nitka.html
Garnitur,2024-01-14,24980,Rabat -30%. Kod: EXTRA30.,259.98,79.99,"['XS', 'S', 'M', 'L', 'XL', 'XXL']",https://moodo.pl/product-pol-24980-Garniturowe-spodnie.html
Other,2024-01-14,24970,Rabat -30%. Kod: EXTRA30.,99.99,79.99,"['XS', 'S', 'M', 'L', 'XL', 'XXL']",https://moodo.pl/product-pol-24970-Welurowa-spodnica-z-rozcieciem.html
Other,2024-01-14,24971,Rabat -30%. Kod: EXTRA30,,119.99,"['XS', 'S', 'M', 'L', 'XL', 'XXL']",https://moodo.pl/product-pol-24971-Satynowa-spodnica-midi-czarna.html
Koszula,2024-01-14,24935,Rabat -30%. Kod: EXTRA30.,149.99,99.99,"['XS', 'S', 'M', 'L', 'XL', 'XXL']",https://moodo.pl/product-pol-24935-Koszula-oversize-z-fredzlami.html
Koszula,2024-01-14,24936,Rabat -30%. Kod: EXTRA30.,149.99,99.99,"['XS', 'S', 'M', 'L', 'XL', 'XXL']",https://moodo.pl/product-pol-24936-Koszula-z-cekinami.html
Other,2024-01-14,24925,Rabat -30%. Kod: EXTRA30,,119.99,"['XS', 'S', 'M', 'L', 'XL', 'XXL']",https://moodo.pl/product-pol-24925-Elegancka-kamizelka.html
Spódnica,2024-01-14,24690,Rabat -30%. Kod: EXTRA30,,119.99,"['XS', 'S', 'M', 'L', 'XL', 'XXL']",https://moodo.pl/product-pol-24690-Spodnica-o-dlugosci-przed-kolano.html
Other,2024-01-14,24691,Rabat -30%. Kod: EXTRA30,,129.99,"['XS', 'S', 'M', 'L', 'XL', 'XXL']",https://moodo.pl/product-pol-24691-Olowkowa-spodnica-z-ozdobnymi-guzikami-czarna.html
Koszula,2024-01-14,24686,Rabat -30%. Kod: EXTRA30.,129.99,69.99,"['XS', 'S', 'M', 'L', 'XL', 'XXL']",https://moodo.pl/product-pol-24686-Koszula-z-bufiastymi-rekawami-i-zwierzecym-wzorem-czarna.html
Koszula,2024-01-14,24680,Rabat -30%. Kod: EXTRA30.,129.99,99.99,"['XS', 'S', 'M', 'L', 'XL', 'XXL']",https://moodo.pl/product-pol-24680-Koszula-w-kwiatowy-wzor.html
Koszula,2024-01-14,24682,Rabat -30%. Kod: EXTRA30,,119.99,"['XS', 'S', 'M', 'L', 'XL', 'XXL']",https://moodo.pl/product-pol-24682-Koszula-z-dekoltem-w-serek-czarna.html
Bluzka,2024-01-14,25207,Rabat -30%. Kod: EXTRA30.,99.99,59.99,"['XS', 'S', 'M', 'L', 'XL', 'XXL']",https://moodo.pl/product-pol-25207-Bluzka-z-koronkowymi-rekawami-czarna.html
Bluzka,2024-01-14,25208,Rabat -30%. Kod: EXTRA30.,99.99,59.99,"['XS', 'S', 'M', 'L', 'XL', 'XXL']",https://moodo.pl/product-pol-25208-Bluzka-z-koronkowymi-rekawami-szmaragdowa.html
Bluzka,2024-01-14,25197,Rabat -30%. Kod: EXTRA30.,79.99,29.99,"['XS', 'S', 'M', 'L', 'XL', 'XXL']",https://moodo.pl/product-pol-25197-Bluzka-z-koronkowym-dekoltem.html
Sweter,2024-01-14,25174,Rabat -30%. Kod: EXTRA30.,119.99,89.99,"['XS', 'S', 'M', 'L', 'XL', 'XXL']",https://moodo.pl/product-pol-25174-Sweter-z-golfem-zielony.html
Sweter,2024-01-14,25175,Rabat -30%. Kod: EXTRA30.,119.99,79.99,"['XS', 'S', 'M', 'L', 'XL', 'XXL']",https://moodo.pl/product-pol-25175-Sweter-z-wiazaniem-fuksjowy.html
Sweter,2024-01-14,25171,Rabat -30%. Kod: EXTRA30.,119.99,89.99,"['XS', 'S', 'M', 'L', 'XL', 'XXL']",https://moodo.pl/product-pol-25171-Sweter-z-golfem-ozdobiony-metaliczna-nitka-szmaragdowy.html
Sweter,2024-01-14,25172,Rabat -30%. Kod: EXTRA30.,119.99,79.99,"['XS', 'S', 'M', 'L', 'XL', 'XXL']",https://moodo.pl/product-pol-25172-Sweter-z-golfem-ozdobiony-metaliczna-nitka-perlowy.html
Sweter,2024-01-14,25173,Rabat -30%. Kod: EXTRA30.,119.99,79.99,"['XS', 'S', 'M', 'L', 'XL', 'XXL']",https://moodo.pl/product-pol-25173-Sweter-z-golfem-bezowy.html
Bluzka,2024-01-14,25026,Rabat -30%. Kod: EXTRA30.,79.99,29.99,"['XS', 'S', 'M', 'L', 'XL', 'XXL']",https://moodo.pl/product-pol-25026-Bluzka-z-koronka-czarna.html
Sweter,2024-01-14,25013,Rabat -30%. Kod: EXTRA30.,139.99,89.99,"['XS', 'S', 'M', 'L', 'XL', 'XXL']",https://moodo.pl/product-pol-25013-Sweter-w-paski-z-metaliczna-nitka-i-okraglym-dekoltem-czarny.html
Sweter,2024-01-14,25010,Rabat -30%. Kod: EXTRA30.,109.99,69.99,"['XS', 'S', 'M', 'L', 'XL', 'XXL']",https://moodo.pl/product-pol-25010-Sweter-z-rekawem-3-4-fuksjowy.html
Sweter,2024-01-14,25000,Rabat -30%. Kod: EXTRA30.,149.99,79.99,"['XS', 'S', 'M', 'L', 'XL', 'XXL']",https://moodo.pl/product-pol-25000-Sweter-z-ozdobnym-splotem-fuksjowy.html
Other,2024-01-14,24997,Rabat -30%. Kod: EXTRA30.,139.99,109.99,"['XS', 'S', 'M', 'L', 'XL', 'XXL']",https://moodo.pl/product-pol-24997-Kardigan-z-ozdobnymi-guzikami-szmaragdowy.html
Other,2024-01-14,24998,Rabat -30%. Kod: EXTRA30.,139.99,89.99,"['XS', 'S', 'M', 'L', 'XL', 'XXL']",https://moodo.pl/product-pol-24998-Kardigan-z-ozdobnymi-guzikami.html
Other,2024-01-14,24872,Rabat -30%. Kod: EXTRA30.,159.99,99.99,"['XS', 'S', 'M', 'L', 'XL', 'XXL']",https://moodo.pl/product-pol-24872-Gladki-sweter-z-dekoltem-w-serek.html
Sweter,2024-01-14,24871,Rabat -30%. Kod: EXTRA30.,159.99,109.99,"['XS', 'S', 'M', 'L', 'XL', 'XXL']",https://moodo.pl/product-pol-24871-Sweter-z-ozdobnym-splotem-jasnoszary.html
Sukienka,2024-01-14,24698,Rabat -30%. Kod: EXTRA30.,169.99,109.99,"['XS', 'S', 'M', 'L', 'XL', 'XXL']",https://moodo.pl/product-pol-24698-Sukienka-w-kwiaty.html
Sweter,2024-01-14,25170,Rabat -30%. Kod: EXTRA30,,99.99,"['XS', 'S', 'M', 'L', 'XL', 'XXL']",https://moodo.pl/product-pol-25170-Sweter-oversize-z-metaliczna-nitka-perlowy.html
Sweter,2024-01-14,25166,Rabat -30%. Kod: EXTRA30.,119.99,69.99,"['XS', 'S', 'M', 'L', 'XL', 'XXL']",https://moodo.pl/product-pol-25166-Sweter-z-metaliczna-nitka-czarny.html
Sweter,2024-01-14,25169,Rabat -30%. Kod: EXTRA30.,99.99,89.99,"['XS', 'S', 'M', 'L', 'XL', 'XXL']",https://moodo.pl/product-pol-25169-Sweter-oversize-z-metaliczna-nitka-szmaragdowy.html
Other,2024-01-14,25036,Rabat -30%. Kod: EXTRA30.,99.99,54.99,"['XS', 'S', 'M', 'L', 'XL', 'XXL']",https://moodo.pl/product-pol-25036-Welurowa-bluzka.html
Bluzka,2024-01-14,25027,Rabat -30%. Kod: EXTRA30,,119.99,"['XS', 'S', 'M', 'L', 'XL', 'XXL']",https://moodo.pl/product-pol-25027-Bluzka-z-ozdobnymi-rekawami-czarna.html
Bluzka,2024-01-14,25030,Rabat -30%. Kod: EXTRA30.,89.99,59.99,"['XS', 'S', 'M', 'L', 'XL', 'XXL']",https://moodo.pl/product-pol-25030-Bluzka-z-polgolfem-ozdobiona-metaliczna-nitka-czarna.html
Sweter,2024-01-14,25009,Rabat -30%. Kod: EXTRA30.,119.99,69.99,"['XS', 'S', 'M', 'L', 'XL', 'XXL']",https://moodo.pl/product-pol-25009-Sweter-z-bufiastymi-rekawami-i-metaliczna-nitka.html
Bluzka,2024-01-14,25209,Rabat -30%. Kod: EXTRA30.,89.99,39.99,"['XS', 'S', 'M', 'L', 'XL', 'XXL']",https://moodo.pl/product-pol-25209-Bluzka-ozdobna-koronka.html
Other,2024-01-14,25168,Rabat -30%. Kod: EXTRA30.,119.99,89.99,"['XS', 'S', 'M', 'L', 'XL', 'XXL']",https://moodo.pl/product-pol-25168-Dopasowany-sweter-z-dekoltem-w-serek-szmaragdowy.html
Spodnie,2024-01-14,25136,Rabat -30%. Kod: EXTRA30.,139.99,99.99,"['XS', 'S', 'M', 'L', 'XL', 'XXL']",https://moodo.pl/product-pol-25136-Spodnie-w-kant-z-rozcieciem.html
Koszula,2024-01-14,24933,Rabat -30%. Kod: EXTRA30.,119.99,39.99,"['XS', 'S', 'M', 'L', 'XL', 'XXL']",https://moodo.pl/product-pol-24933-Koszula-z-falbanami-i-dekoltem-w-serek-czarna.html
Jeansy,2024-01-14,24917,Rabat -30%. Kod: EXTRA30.,149.99,79.99,"['XS', 'S', 'M', 'L', 'XL', 'XXL']",https://moodo.pl/product-pol-24917-Jeansy-paperbag-czarne.html
Spodnie,2024-01-14,24891,Rabat -30%. Kod: EXTRA30,,159.99,"['XS', 'S', 'M', 'L', 'XL', 'XXL']",https://moodo.pl/product-pol-24891-Spodnie-cargo.html
Sweter,2024-01-14,24884,Rabat -30%. Kod: EXTRA30.,159.99,119.99,"['XS', 'S', 'M', 'L', 'XL', 'XXL']",https://moodo.pl/product-pol-24884-Sweter-z-golfem-ozdobiony-metaliczna-nitka-bezowy.html
Other,2024-01-14,24696,Rabat -30%. Kod: EXTRA30,,139.99,"['XS', 'S', 'M', 'L', 'XL', 'XXL']",https://moodo.pl/product-pol-24696-Eleganckie-spodnie-w-kant.html
Other,2024-01-14,25150,Rabat -30%. Kod: EXTRA30.,169.99,69.99,"['XS', 'S', 'M', 'L', 'XL', 'XXL']",https://moodo.pl/product-pol-25150-Zakardowa-sukienka.html
Koszula,2024-01-14,25090,Rabat -30%. Kod: EXTRA30.,129.99,89.99,"['XS', 'S', 'M', 'L', 'XL', 'XXL']",https://moodo.pl/product-pol-25090-Koszula-z-ozdobnymi-guzikami-szmaragdowa.html
Cienki sweter,2024-01-14,24991,Rabat -30%. Kod: EXTRA30.,109.99,69.99,"['XS', 'S', 'M', 'L', 'XL', 'XXL']",https://moodo.pl/product-pol-24991-Cienki-sweter-z-golfem-czarny.html
Cienki sweter,2024-01-14,24992,Rabat -30%. Kod: EXTRA30.,109.99,59.99,"['XS', 'S', 'M', 'L', 'XL', 'XXL']",https://moodo.pl/product-pol-24992-Cienki-sweter-z-golfem-kasztanowy.html
Cienki sweter,2024-01-14,24993,Rabat -30%. Kod: EXTRA30.,109.99,79.99,"['XS', 'S', 'M', 'L', 'XL', 'XXL']",https://moodo.pl/product-pol-24993-Cienki-sweter-z-golfem-perlowy.html
Spodnie,2024-01-14,24974,Rabat -30%. Kod: EXTRA30.,149.99,79.99,"['XS', 'S', 'M', 'L', 'XL', 'XXL']",https://moodo.pl/product-pol-24974-Spodnie-z-wiazaniem-kasztanowe.html
Spodnie,2024-01-14,24975,Rabat -30%. Kod: EXTRA30.,129.99,99.99,"['XS', 'S', 'M', 'L', 'XL', 'XXL']",https://moodo.pl/product-pol-24975-Spodnie-rurki.html
Sweter,2024-01-14,24857,Rabat -30%. Kod: EXTRA30.,149.99,99.99,"['XS', 'S', 'M', 'L', 'XL', 'XXL']",https://moodo.pl/product-pol-24857-Sweter-z-golfem-i-bufiastymi-rekawami-fuksjowy.html
Sweter,2024-01-14,24856,Rabat -30%. Kod: EXTRA30.,149.99,89.99,"['XS', 'S', 'M', 'L', 'XL', 'XXL']",https://moodo.pl/product-pol-24856-Sweter-z-golfem-i-bufiastymi-rekawami-ciemnobezowy.html
Other,2024-01-14,24849,Rabat -30%. Kod: EXTRA30.,159.99,79.99,"['XS', 'S', 'M', 'L', 'XL', 'XXL']",https://moodo.pl/product-pol-24849-Dzianinowa-sukienka.html
Other,2024-01-14,24770,Rabat -30%. Kod: EXTRA30.,64.99,59.99,"['XS', 'S', 'M', 'L', 'XL', 'XXL']",https://moodo.pl/product-pol-24770-Ocieplane-rekawiczki.html
Other,2024-01-14,24765,Rabat -30%. Kod: EXTRA30.,39.99,34.99,"['XS', 'S', 'M', 'L', 'XL', 'XXL']",https://moodo.pl/product-pol-24765-Dzianinowe-rekawiczki-szare.html
Other,2024-01-14,24766,Rabat -30%. Kod: EXTRA30.,39.99,34.99,"['XS', 'S', 'M', 'L', 'XL', 'XXL']",https://moodo.pl/product-pol-24766-Dzianinowe-rekawiczki-perlowe.html
Other,2024-01-14,24767,Rabat -30%. Kod: EXTRA30.,39.99,34.99,"['XS', 'S', 'M', 'L', 'XL', 'XXL']",https://moodo.pl/product-pol-24767-Dzianinowe-rekawiczki-czarne.html
Czapka,2024-01-14,24738,Rabat -30%. Kod: EXTRA30.,54.99,29.99,"['XS', 'S', 'M', 'L', 'XL', 'XXL']",https://moodo.pl/product-pol-24738-Czapka-z-futrzanym-pomponem-szara.html
Czapka,2024-01-14,24739,Rabat -30%. Kod: EXTRA30.,54.99,39.99,"['XS', 'S', 'M', 'L', 'XL', 'XXL']",https://moodo.pl/product-pol-24739-Czapka-z-pomponem-perlowa.html
Spodnie,2024-01-14,24695,Rabat -30%. Kod: EXTRA30.,149.99,69.99,"['XS', 'S', 'M', 'L', 'XL', 'XXL']",https://moodo.pl/product-pol-24695-Spodnie-z-prostymi-nogawkami-granatowe.html
Koszula,2024-01-14,24685,Rabat -30%. Kod: EXTRA30.,109.99,89.99,"['XS', 'S', 'M', 'L', 'XL', 'XXL']",https://moodo.pl/product-pol-24685-Koszula-z-dekoltem-w-serek-szmaragdowa.html
Koszula,2024-01-14,24675,Rabat -30%. Kod: EXTRA30.,109.99,69.99,"['XS', 'S', 'M', 'L', 'XL', 'XXL']",https://moodo.pl/product-pol-24675-Koszula-z-dekoltem-w-serek-czarno-biala.html
Other,2024-01-14,25102,Rabat -30%. Kod: EXTRA30.,319.99,199.99,"['XS', 'S', 'M', 'L', 'XL', 'XXL']",https://moodo.pl/product-pol-25102-Pikowana-kurtka-z-kapturem-ciemnobezowa.html
Other,2024-01-14,25103,Rabat -30%. Kod: EXTRA30.,319.99,219.99,"['XS', 'S', 'M', 'L', 'XL', 'XXL']",https://moodo.pl/product-pol-25103-Pikowana-kurtka-z-kapturem-szmaragdowa.html
Bluzka,2024-01-14,25028,Rabat -30%. Kod: EXTRA30.,99.99,69.99,"['XS', 'S', 'M', 'L', 'XL', 'XXL']",https://moodo.pl/product-pol-25028-Bluzka-z-polgolfem-i-bufiastymi-rekawami-czarna.html
Bluzka,2024-01-14,25029,Rabat -30%. Kod: EXTRA30.,99.99,69.99,"['XS', 'S', 'M', 'L', 'XL', 'XXL']",https://moodo.pl/product-pol-25029-Bluzka-z-polgolfem-i-bufiastymi-rekawami-biala.html
Other,2024-01-14,24814,Rabat -30%. Kod: EXTRA30.,69.99,49.99,"['XS', 'S', 'M', 'L', 'XL', 'XXL']",https://moodo.pl/product-pol-24814-Gladki-komin-piaskowy.html
Other,2024-01-14,24813,Rabat -30%. Kod: EXTRA30.,69.99,39.99,"['XS', 'S', 'M', 'L', 'XL', 'XXL']",https://moodo.pl/product-pol-24813-Gladki-komin-czarny.html
Rękawiczki,2024-01-14,24775,Rabat -30%. Kod: EXTRA30.,59.99,49.99,"['XS', 'S', 'M', 'L', 'XL', 'XXL']",https://moodo.pl/product-pol-24775-Rekawiczki-ozdobione-cyrkoniami.html
Other,2024-01-14,24771,Rabat -30%. Kod: EXTRA30.,39.99,29.99,"['XS', 'S', 'M', 'L', 'XL', 'XXL']",https://moodo.pl/product-pol-24771-Futrzane-rekawiczki-czarne.html
Other,2024-01-14,24772,Rabat -30%. Kod: EXTRA30.,39.99,29.99,"['XS', 'S', 'M', 'L', 'XL', 'XXL']",https://moodo.pl/product-pol-24772-Futrzane-rekawiczki-piaskowe.html
Rękawiczki,2024-01-14,24773,Rabat -30%. Kod: EXTRA30.,59.99,49.99,"['XS', 'S', 'M', 'L', 'XL', 'XXL']",https://moodo.pl/product-pol-24773-Rekawiczki-z-pikowaniem-czarne.html
Rękawiczki,2024-01-14,24774,Rabat -30%. Kod: EXTRA30.,59.99,49.99,"['XS', 'S', 'M', 'L', 'XL', 'XXL']",https://moodo.pl/product-pol-24774-Rekawiczki-z-pikowaniem-brazowe.html
Rękawiczki,2024-01-14,24769,Rabat -30%. Kod: EXTRA30.,59.99,49.99,"['XS', 'S', 'M', 'L', 'XL', 'XXL']",https://moodo.pl/product-pol-24769-Rekawiczki-z-cyrkoniami.html
Other,2024-01-14,24747,Rabat -30%. Kod: EXTRA30.,49.99,29.99,"['XS', 'S', 'M', 'L', 'XL', 'XXL']",https://moodo.pl/product-pol-24747-Ciepla-futrzana-czapka-czarna.html
Other,2024-01-14,24748,Rabat -30%. Kod: EXTRA30.,49.99,34.99,"['XS', 'S', 'M', 'L', 'XL', 'XXL']",https://moodo.pl/product-pol-24748-Gladka-czapka-piaskowa.html
Czapka,2024-01-14,24750,Rabat -30%. Kod: EXTRA30.,49.99,39.99,"['XS', 'S', 'M', 'L', 'XL', 'XXL']",https://moodo.pl/product-pol-24750-Czapka-z-ozdobnym-splotem.html
Czapka,2024-01-14,24751,Rabat -30%. Kod: EXTRA30.,59.99,44.99,"['XS', 'S', 'M', 'L', 'XL', 'XXL']",https://moodo.pl/product-pol-24751-Czapka-z-pomponem-i-koralikami-czarna.html
Czapka,2024-01-14,24742,Rabat -30%. Kod: EXTRA30.,54.99,39.99,"['XS', 'S', 'M', 'L', 'XL', 'XXL']",https://moodo.pl/product-pol-24742-Czapka-z-pomponem-czarno-biala.html
Czapka,2024-01-14,24743,Rabat -30%. Kod: EXTRA30.,54.99,39.99,"['XS', 'S', 'M', 'L', 'XL', 'XXL']",https://moodo.pl/product-pol-24743-Czapka-z-pomponem-i-metaliczna-nitka-szmaragdowa.html
Other,2024-01-14,24744,Rabat -30%. Kod: EXTRA30.,49.99,29.99,"['XS', 'S', 'M', 'L', 'XL', 'XXL']",https://moodo.pl/product-pol-24744-Ciepla-dzianiowa-czapka-z-pomponem-szmaragdowa.html
Czapka,2024-01-14,24745,Rabat -30%. Kod: EXTRA30.,49.99,34.99,"['XS', 'S', 'M', 'L', 'XL', 'XXL']",https://moodo.pl/product-pol-24745-Czapka-z-pomponem-pudrowo-rozowa.html
Czapka,2024-01-14,24737,Rabat -30%. Kod: EXTRA30.,59.99,34.99,"['XS', 'S', 'M', 'L', 'XL', 'XXL']",https://moodo.pl/product-pol-24737-Czapka-z-pomponem-ozdobiona-dzetami-czarna.html
Koszula,2024-01-14,24683,Rabat -30%. Kod: EXTRA30.,129.99,99.99,"['XS', 'S', 'M', 'L', 'XL', 'XXL']",https://moodo.pl/product-pol-24683-Koszula-z-wiazanym-dekoltem-czarna.html
Koszula,2024-01-14,24684,Rabat -30%. Kod: EXTRA30.,129.99,109.99,"['XS', 'S', 'M', 'L', 'XL', 'XXL']",https://moodo.pl/product-pol-24684-Koszula-z-kwiatowym-wzorem-kasztanowa.html
